Release:     2015_05 of 29-Apr-2015
113000: ROR2_HUMAN  (Q01974)    
113100: GDF5_HUMAN  (P43026)    
113200: HXD13_HUMAN (P35453)    
113300: HXD13_HUMAN (P35453)    
113500: TRPV4_HUMAN (Q9HBA0)    
113503: BKRB2_HUMAN (P30411)    
113505: BDNF_HUMAN  (P23560)    
113508: 1433F_HUMAN (Q04917)    
113520: BCAT1_HUMAN (P54687)    
113530: BCAT2_HUMAN (O15382)    
113620: AP2A_HUMAN  (P05549)    
113650: EYA1_HUMAN  (Q99502)    
113703: RL13_HUMAN  (P26373)    
113705: BRCA1_HUMAN (P38398)    
113710: TFF1_HUMAN  (P04155)    
113720: MUC1_HUMAN  (P15941)    
113725: PO4F2_HUMAN (Q12837)    
113730: UCP1_HUMAN  (P25874)    
113750: NCKX5_HUMAN (Q71RS6)    
113800: K1C10_HUMAN (P13645)    , K2C1_HUMAN  (P04264))   
113810: DYST_HUMAN  (Q03001)    
113811: COHA1_HUMAN (Q9UMD9)    
113900: SCN5A_HUMAN (Q14524)    
113970: MYC_HUMAN   (P01106)    
113995: C5AR1_HUMAN (P21730)    
114000: CO1A1_HUMAN (P02452)    
114010: PYR1_HUMAN  (P27708)    
114019: CAD15_HUMAN (P55291)    
114020: CADH2_HUMAN (P19022)    
114021: CADH3_HUMAN (P22223)    
114025: CTNA2_HUMAN (P26232)    
114050: CALB1_HUMAN (P05937)    
114051: CALB2_HUMAN (P22676)    
114070: ANXA6_HUMAN (P08133)    
114078: KCC2A_HUMAN (Q9UQM7)    
114080: KCC4_HUMAN  (Q16566)    
114085: S10AA_HUMAN (P60903)    
114090: ICAL_HUMAN  (P20810)    
114105: PP2BA_HUMAN (Q08209)    
114106: PP2BB_HUMAN (P16298)    
114107: PP2BC_HUMAN (P48454)    
114110: S10A6_HUMAN (P06703)    
114130: CALCA_HUMAN (P06881)    , CALC_HUMAN  (P01258))   
114131: CALCR_HUMAN (P30988)    
114160: CALCB_HUMAN (P10092)    
114170: CPNS1_HUMAN (P04632)    
114180: CALM_HUMAN  (P62158)    
114182: CALM_HUMAN  (P62158)    
114183: CALM_HUMAN  (P62158)    
114184: CALL3_HUMAN (P27482)    
114190: CALRL_HUMAN (Q16602)    
114204: CA2D1_HUMAN (P54289)    
114205: CAC1C_HUMAN (Q13936)    
114206: CAC1D_HUMAN (Q01668)    
114207: CACB1_HUMAN (Q02641)    
114208: CAC1S_HUMAN (Q13698)    
114209: CCG1_HUMAN  (Q06432)    
114210: S10A4_HUMAN (P26447)    
114212: CAYP1_HUMAN (Q13938)    
114213: CALD1_HUMAN (Q05682)    
114217: CALX_HUMAN  (P27824)    
114220: CAN1_HUMAN  (P07384)    
114230: CAN2_HUMAN  (P17655)    
114240: CAN3_HUMAN  (P20807)    
114250: CASQ1_HUMAN (P31415)    
114251: CASQ2_HUMAN (O14958)    
114280: CD52_HUMAN  (P31358)    
114290: SOX9_HUMAN  (P48436)    
114300: PIEZ2_HUMAN (Q9H5I5)    
114350: NU214_HUMAN (P35658)    
114480: AKT1_HUMAN  (P31749)    , BRCA1_HUMAN (P38398))   , BRCA2_HUMAN (P51587))   ,
        CHK2_HUMAN  (O96017))   , DPOLQ_HUMAN (O75417))   , F175A_HUMAN (Q6UWZ7))   ,
        FANCJ_HUMAN (Q9BX63))   , NBN_HUMAN   (O60934))   , PALB2_HUMAN (Q86YC2))   ,
        PK3CA_HUMAN (P42336))   , RAD51_HUMAN (Q06609))   , S22AI_HUMAN (Q96BI1))   ,
        XRCC3_HUMAN (O43542))   
114500: AKT1_HUMAN  (P31749)    , ALEX_HUMAN  (P84996))   , AXIN2_HUMAN (Q9Y2T1))   ,
        BRAF_HUMAN  (P15056))   , C1TC_HUMAN  (P11586))   , COX1_HUMAN  (P00395))   ,
        CTNB1_HUMAN (P35222))   , EPHA3_HUMAN (P29320))   , LOX12_HUMAN (P18054))   ,
        MLH3_HUMAN  (Q9UHC1))   , MTG8_HUMAN  (Q06455))   , NF1_HUMAN   (P21359))   ,
        PGFRL_HUMAN (Q15198))   , PK3CA_HUMAN (P42336))   , RET_HUMAN   (P07949))   ,
        SMAD3_HUMAN (P84022))   , SMAD4_HUMAN (Q13485))   , WRN_HUMAN   (Q14191))   
114550: APC_HUMAN   (P25054)    , AXIN1_HUMAN (O15169))   , CDKN3_HUMAN (Q16667))   ,
        MET_HUMAN   (P08581))   , MTUS1_HUMAN (Q9ULD2))   , PK3CA_HUMAN (P42336))   
114610: CNR1_HUMAN  (P21554)    
114750: CAH3_HUMAN  (P07451)    
114760: CAH4_HUMAN  (P22748)    
114761: CAH5A_HUMAN (P35218)    
114770: CAH7_HUMAN  (P43166)    
114780: CAH6_HUMAN  (P23280)    
114800: CAH1_HUMAN  (P00915)    
114815: CAH8_HUMAN  (P35219)    
114830: CBR1_HUMAN  (P16152)    
114835: EST1_HUMAN  (P23141)    
114840: CEL_HUMAN   (P19835)    
114850: CBPA1_HUMAN (P15085)    
114851: CBPA3_HUMAN (P15088)    
114852: CBPB1_HUMAN (P15086)    
114855: CBPE_HUMAN  (P16870)    
114860: CBPM_HUMAN  (P14384)    
114890: CEAM5_HUMAN (P06731)    
114900: DHSD_HUMAN  (O14521)    
115080: AKA10_HUMAN (O43572)    
115150: BRAF_HUMAN  (P15056)    
115195: TNNT2_HUMAN (P45379)    
115196: TPM1_HUMAN  (P09493)    
115197: MYPC3_HUMAN (Q14896)    
115200: LMNA_HUMAN  (P02545)    
115210: TNNI3_HUMAN (P19429)    
115300: BCDO1_HUMAN (Q9HAY6)    
115310: SDHB_HUMAN  (P21912)    
115430: TTHY_HUMAN  (P02766)    
115435: HPLN1_HUMAN (P10915)    
115437: MATN1_HUMAN (P21941)    
115440: CSK21_HUMAN (P68400)    
115441: CSK2B_HUMAN (P67870)    
